Unnamed: 0,Ideas/Concepts/Examples,Description,Theme,Use Case,Status/Maturity,Disaster Cycle,Technology,Disaster Type,Region,Subregion,Country of Implementation,Supporting Partners,Un Host Organisation,Data,SDG,Date of Implementation,Source,imgurl
116,Freshwater Ecosystems Explorer,"The Freshwater Ecosystems Explorer is a free and easy to use data platform. It provides accurate, up-to-date, high-resolution geospatial data depicting  the extent freshwater ecosystems change over time. Data can be visualized and downloaded at national, sub-national, basin and sub-basin levels.",Clean water,Situational awareness/actionable information gathering,production,response,Geographical Information Systems,Droughts,Global,Global,Global,"Google Earth Engine, Joint Research Center (JRC) of the European Commission",UNEP,Spatial Data,SDG 6,2019,https://www.sdg661.app/,https://lh6.googleusercontent.com/IBsyTiePa61XUU1SidMxGgnmxfbixLJtXeCGEW7RuatOt03xFEbMLryyrq3WzNG0Qoj-D1pkPFvmmSyf09eQvMM7aiarOb0VNoyB_XDwb2Ztul_g=w1280
117,Freshwater Ecosystems Explorer,"The Freshwater Ecosystems Explorer is a free and easy to use data platform. It provides accurate, up-to-date, high-resolution geospatial data depicting  the extent freshwater ecosystems change over time. Data can be visualized and downloaded at national, sub-national, basin and sub-basin levels.",Clean water,Situational awareness/actionable information gathering,production,recovery,Geographical Information Systems,Droughts,Global,Global,Global,"Google Earth Engine, Joint Research Center (JRC) of the European Commission",UNEP,Spatial Data,SDG 6,2019,https://www.sdg661.app/,https://lh6.googleusercontent.com/IBsyTiePa61XUU1SidMxGgnmxfbixLJtXeCGEW7RuatOt03xFEbMLryyrq3WzNG0Qoj-D1pkPFvmmSyf09eQvMM7aiarOb0VNoyB_XDwb2Ztul_g=w1280
118,#JustSaveIt,"The project aimed to encourage bank account usage more specifically regular deposits made into agent-based bank accounts through a series of WhatsApp messages sent to bank agents. The messages (i.e. graphics, comics, written text) were sent to shop owners (who were also bank agents), urging them to encourage their customers to save the change from purchases made at their shops in their bank accounts. The messages shared as part of the #TabunginAja (#JustSaveIt) campaign, were informed by BeSci and included setting specific goals and applying rules of thumb to prompt the target behaviour (e.g. to encourage agents to ask their customers to save their shopping change if the amount is less than USD0.35).",Finance,Situational awareness/actionable information gathering,production,mitigation,Mobile App,Various,Asia,South-eastern Asia,Indonesia,The Secretariat of the Indonesian National Council for Financial Inclusion (S-DNKI),UN Pulse Lab Jakarta,"Mobile Network Data, Text Data","SDG 1, SDG 8, SDG 9",2021,https://www.bi.team/publications/justsaveit-encouraging-usage-of-agent-based-bank-accounts-to-improve-financial-inclusion/,https://www.bi.team/wp-content/uploads/2020/03/justsaveit-157x216.png
119,UN Biodiversity Lab,"The UN Biodiversity Lab is a free, open-source mapping platform designed to inform biodiversity conservation and sustainable development decision-making. The lab has directly engaged 170 countries in creating data-driven Sixth National Reports on their progress towards achieving the 2020 Aichi Biodiversity Targets. Thus far, the platform has increased the level of spatial planning and reporting by a factor of 5 (based on reports submitted by December 2018). The UN Biodiversity Lab is a collaboration with UN Environment, UNDP, the Convention on Biological Diversity and the Global Environment Facility. It is powered by MapX. ",Biodiversity ,Situational awareness/actionable information gathering,production,mitigation,"Geographical Information Systems, Data Collection, Data Analysis, Web mapping",Various,Global,Global,Global,"GEF, UNEP-WCMC, MapX, GRID-Geneva, NASA","UNDP, UNEP, SCBD",Spatial Data,"SDG 9, SDG 10, SDG 14, SDG 15",2019,https://unbiodiversitylab.org/about/,https://unbiodiversitylab.org/wp-content/uploads/2020/07/UNBL_FULL_WEBSITE.png
120,UN Biodiversity Lab,"The UN Biodiversity Lab is a free, open-source mapping platform designed to inform biodiversity conservation and sustainable development decision-making. The lab has directly engaged 170 countries in creating data-driven Sixth National Reports on their progress towards achieving the 2020 Aichi Biodiversity Targets. Thus far, the platform has increased the level of spatial planning and reporting by a factor of 5 (based on reports submitted by December 2018). The UN Biodiversity Lab is a collaboration with UN Environment, UNDP, the Convention on Biological Diversity and the Global Environment Facility. It is powered by MapX. ",Biodiversity ,Situational awareness/actionable information gathering,production,preparedness,"Geographical Information Systems, Data Collection, Data Analysis, Web mapping",Various,Global,Global,Global,"GEF, UNEP-WCMC, MapX, GRID-Geneva, NASA","UNDP, UNEP, SCBD",Spatial Data,"SDG 9, SDG 10, SDG 14, SDG 15",2019,https://unbiodiversitylab.org/about/,https://unbiodiversitylab.org/wp-content/uploads/2020/07/UNBL_FULL_WEBSITE.png
121,The Lockdown Learners Series,"The Lockdown Learners is a series of free-of-cost, interactive dialogues with students and educators in India on topics pertaining to COVID-19 and its impact on the Sustainable Development Goals (especially SDG 16), peace and the rule of law. It includes sensitisation of students on issues such as cybercrime, misinformation, gender-based violence, discrimination and corruption, among others. The Lockdown Learners series also aims to provide a platform for students to receive mentorship and knowledge support to use their skills to promote awareness among these issues and share their ideas and solutions to address some of these problems.",Situational Awareness,Situational awareness/actionable information gathering,production,mitigation ,Mobile App,Various,Asia,Southern Asia,India,"Navodaya Vidyalaya Samity, Government of India, private and public schools, civil society and rural educators",UNODC,"Mobile Network Data, Spatial Data","SDG 4, SDG 5, SDG 10, SDG 16",2021,https://www.unodc.org/e4j/en/about-e4j/e4j-around-the-world/lockdown-learners-india.html,https://www.unodc.org/images/e4j/Around-the-World/IMG_5504.JPG
122,The Lockdown Learners Series,"The Lockdown Learners is a series of free-of-cost, interactive dialogues with students and educators in India on topics pertaining to COVID-19 and its impact on the Sustainable Development Goals (especially SDG 16), peace and the rule of law. It includes sensitisation of students on issues such as cybercrime, misinformation, gender-based violence, discrimination and corruption, among others. The Lockdown Learners series also aims to provide a platform for students to receive mentorship and knowledge support to use their skills to promote awareness among these issues and share their ideas and solutions to address some of these problems.",Situational Awareness,Situational awareness/actionable information gathering,production,response,Mobile App,Various,Asia,Southern Asia,India,"Navodaya Vidyalaya Samity, Government of India, private and public schools, civil society and rural educators",UNODC,"Mobile Network Data, Spatial Data","SDG 4, SDG 5, SDG 10, SDG 16",2021,https://www.unodc.org/e4j/en/about-e4j/e4j-around-the-world/lockdown-learners-india.html,https://www.unodc.org/images/e4j/Around-the-World/IMG_5504.JPG
123,The Lockdown Learners Series,"The Lockdown Learners is a series of free-of-cost, interactive dialogues with students and educators in India on topics pertaining to COVID-19 and its impact on the Sustainable Development Goals (especially SDG 16), peace and the rule of law. It includes sensitisation of students on issues such as cybercrime, misinformation, gender-based violence, discrimination and corruption, among others. The Lockdown Learners series also aims to provide a platform for students to receive mentorship and knowledge support to use their skills to promote awareness among these issues and share their ideas and solutions to address some of these problems.",Situational Awareness,Situational awareness/actionable information gathering,production,recovery,Mobile App,Various,Asia,Southern Asia,India,"Navodaya Vidyalaya Samity, Government of India, private and public schools, civil society and rural educators",UNODC,"Mobile Network Data, Spatial Data","SDG 4, SDG 5, SDG 10, SDG 16",2021,https://www.unodc.org/e4j/en/about-e4j/e4j-around-the-world/lockdown-learners-india.html,https://www.unodc.org/images/e4j/Around-the-World/IMG_5504.JPG
124,Tanya Marlo,"Tanya Marlo is a chat bot designed to simulate conversations with human users, developed by UNAIDS Indonesia in partnership with Nimbly Technologies. The chat bot serves to be the reliable go-to-source for all HIV-related information for young people in Jakarta, who are not reached through traditional HIV outreach programmes. By integrating Marlo into LINE, a chat messaging application popular among young people in Southeast Asia, users are able to ask any questions on HIV and get real time answers. By adding this chat bot in LINE, users can get interesting and relevant information about HIV and be rewarded by answering quizzes. Most importantly, users can book appointments to get tested for HIV with just a tap, as well as be connected to real-life counselors to get a reliable information about HIV. Tanya Marlo was launched in Jakarta on 18 December 2018. ",Health,Situational awareness/actionable information gathering,production,mitigation ,Mobile App,Pandemic/Epidemic,Asia,Southern Asia,Indonesia,"Nimbly Technologies, LINKAGES, Jaringan Indonesia Positif (Indonesia Positive Network)",UNAIDS,Text Data,SDG 3,2019,https://page.line.me/bwk1011t?openQrModal=true,https://obs.line-scdn.net/r/myhome/hex/90d9770228b5b3981f0d08b9f9305be2539df36dd73a43ef1c2b3a43b50069d0td8bde3d19d28774t0d8b5fad/w750
125,Tanya Marlo,"Tanya Marlo is a chat bot designed to simulate conversations with human users, developed by UNAIDS Indonesia in partnership with Nimbly Technologies. The chat bot serves to be the reliable go-to-source for all HIV-related information for young people in Jakarta, who are not reached through traditional HIV outreach programmes. By integrating Marlo into LINE, a chat messaging application popular among young people in Southeast Asia, users are able to ask any questions on HIV and get real time answers. By adding this chat bot in LINE, users can get interesting and relevant information about HIV and be rewarded by answering quizzes. Most importantly, users can book appointments to get tested for HIV with just a tap, as well as be connected to real-life counselors to get a reliable information about HIV. Tanya Marlo was launched in Jakarta on 18 December 2018. ",Health,Situational awareness/actionable information gathering,production,response,Mobile App,Pandemic/Epidemic,Asia,Southern Asia,Indonesia,"Nimbly Technologies, LINKAGES, Jaringan Indonesia Positif (Indonesia Positive Network)",UNAIDS,Text Data,SDG 3,2019,https://page.line.me/bwk1011t?openQrModal=true,https://obs.line-scdn.net/r/myhome/hex/90d9770228b5b3981f0d08b9f9305be2539df36dd73a43ef1c2b3a43b50069d0td8bde3d19d28774t0d8b5fad/w750
126,Tanya Marlo,"Tanya Marlo is a chat bot designed to simulate conversations with human users, developed by UNAIDS Indonesia in partnership with Nimbly Technologies. The chat bot serves to be the reliable go-to-source for all HIV-related information for young people in Jakarta, who are not reached through traditional HIV outreach programmes. By integrating Marlo into LINE, a chat messaging application popular among young people in Southeast Asia, users are able to ask any questions on HIV and get real time answers. By adding this chat bot in LINE, users can get interesting and relevant information about HIV and be rewarded by answering quizzes. Most importantly, users can book appointments to get tested for HIV with just a tap, as well as be connected to real-life counselors to get a reliable information about HIV. Tanya Marlo was launched in Jakarta on 18 December 2018. ",Health,Situational awareness/actionable information gathering,production,recovery,Mobile App,Pandemic/Epidemic,Asia,Southern Asia,Indonesia,"Nimbly Technologies, LINKAGES, Jaringan Indonesia Positif (Indonesia Positive Network)",UNAIDS,Text Data,SDG 3,2019,https://page.line.me/bwk1011t?openQrModal=true,https://obs.line-scdn.net/r/myhome/hex/90d9770228b5b3981f0d08b9f9305be2539df36dd73a43ef1c2b3a43b50069d0td8bde3d19d28774t0d8b5fad/w750
127,ETC Emergency Telecommunications Cluster,"The Emergency Telecommunications Cluster (ETC) is a global network of organizations that work together to provide shared communications services in humanitarian emergencies. The ETC is one of the 11 clusters designated by the Inter-Agency Standing Committee (IASC). The ETC website provides Emergency Telecommunications Cluster (ETC) project documentations, including meeting minutes, SitReps, maps, contact lists and updates. Within 48 hours of a disaster, the ETC provides vital security communications services and voice and Internet connectivity to assist the response community in their life-saving operations. Within four weeks, ETC services are expanded for continued emergency relief. ",Disaster Risk Management,Emergency communications,production,preparedness,Big Data ,Various,Global,Global,Global,The Emergency Telecommunications Cluster,"UNDP, UN OCHA, FAO, WFP, UNHCR","Spatial Data, Text Data",No Information,2021,https://etcluster.org/sites/default/files/paragraph/attachment/field_file/2021-12/ETC2025-Strategy_newtemplate%20%282%29.pdf  ,https://www.etcluster.org/themes/custom/six8theme/dist/images/og.jpg?rev=2
128,ETC Emergency Telecommunications Cluster,"The Emergency Telecommunications Cluster (ETC) is a global network of organizations that work together to provide shared communications services in humanitarian emergencies. The ETC is one of the 11 clusters designated by the Inter-Agency Standing Committee (IASC). The ETC website provides Emergency Telecommunications Cluster (ETC) project documentations, including meeting minutes, SitReps, maps, contact lists and updates. Within 48 hours of a disaster, the ETC provides vital security communications services and voice and Internet connectivity to assist the response community in their life-saving operations. Within four weeks, ETC services are expanded for continued emergency relief. ",Disaster Risk Management,Emergency communications,production,response,Big Data ,Various,Global,Global,Global,The Emergency Telecommunications Cluster,"UNDP, UN OCHA, FAO, WFP, UNHCR","Spatial Data, Text Data",No Information,2021,https://etcluster.org/sites/default/files/paragraph/attachment/field_file/2021-12/ETC2025-Strategy_newtemplate%20%282%29.pdf  ,https://www.etcluster.org/themes/custom/six8theme/dist/images/og.jpg?rev=2
129,Facebook Safety Check ,"Safety Check is a feature of the social network Facebook that is meant to help Facebook users quickly alert friends and family that they are safe during times of crisis, like floods, earthquakes or tsunamis. Safety Check works by sending users a push notification asking them if they are safe whenever a natural disaster strikes the area they list as their current location. Users can then see a list of their Facebook friends in the area, and see which users have checked in as safe and which have not.",Humanitarian response,Damage and loss assessment,production,preparedness,Mobile App,Various,Global,Global,Global,Facebook,None,Text Data,No Information,2014,https://about.fb.com/news/2014/10/introducing-safety-check/  ,https://about.fb.com/wp-content/uploads/2014/10/safetycheckmobielcarousel.jpg?w=870
130,Facebook Safety Check ,"Safety Check is a feature of the social network Facebook that is meant to help Facebook users quickly alert friends and family that they are safe during times of crisis, like floods, earthquakes or tsunamis. Safety Check works by sending users a push notification asking them if they are safe whenever a natural disaster strikes the area they list as their current location. Users can then see a list of their Facebook friends in the area, and see which users have checked in as safe and which have not.",Humanitarian response,Damage and loss assessment,production,response,Mobile App,Various,Global,Global,Global,Facebook,None,Text Data,No Information,2014,https://about.fb.com/news/2014/10/introducing-safety-check/  ,https://about.fb.com/wp-content/uploads/2014/10/safetycheckmobielcarousel.jpg?w=870
131,Get Ready Get Thru Information Portal ,"Get Ready Get Thru is an online multilingual guide for New Zealand to plan for and respond to disasters. New Zealand faces many potential disasters. In some cases, such as a weather related or volcanic disaster, there may be time for a warning. But an earthquake or a tsunami close to land could strike without warning. All disasters have the potential to cause disruption, damage property and take lives. The portal offers information material on different hazards, as well as guidance on establishing a household emergency plan and creating an emergency survival kit. In addition, information for people with disabilities is being offered and emergency contact details are provided.",Risk Reduction,Situational awareness/actionable information gathering,production,preparedness,Social Media,Various,Oceania,Australia and New Zealand,New Zealand,"Ministry of Civil Defence and Emergency Management, New Zealand",None,Text Data,No Information,No Information,https://drrgateway.net/e-resilience/tool/get-ready-get-thru-information-portal  ,https://drrgateway.net/sites/default/files/e-resilience-toolkit-2017-04/get-ready-get-thru-portal-e-resilience.jpg
132,I-CoDI - ITU's International Centre of Digital Innovation,"I-CoDI seeks to help close the digital innovation divide by providing a safe co-design space for ITU Members and other stakeholders to develop innovative strategies that accelerate digital transformation and the achievement of the Sustainable Development Goals. ITU's International Centre of Digital Innovation (I-CoDI) provides a model for co-designing with a set of processes aiming to build synergies between stakeholders, increase speed, productivity, innovation and deliver outcomes with tangible impact in the region. It encompasses a set of tools and methodologies each catered to target and resolve common and frequent challenges for meaningful connectivity in the regions.","Situational awareness, Improved organizational efficiency",Situational awareness/actionable information gathering,production,mitigation,"Mobile App, Web-based App",Various,Global,Global,Global,UAE TDRA,ITU,Spatial Data,"SDG 4, SDG 5, SDG 9, SDG 17",2021,https://www.itu.int/en/ITU-D/Pages/I-CoDI.aspx,https://www.itu.int/en/ITU-D/SiteAssets/Pages/I-CoDI/Website_I_CoDI_banner.JPG
133,GRID3 ,"GRID3 (Geo-Referenced Infrastructure and Demographic Data for Development) works with countries to generate, validate, and use geospatial data on population, settlements, infrastructure, and administrative boundaries to strengthen the foundation for sustainable evidence-based development and humanitarian decision making. The initiative combines the expertise of partners in academia, government, the United Nations, and the private sector to design adaptable and relevant spatial data solutions based on the capacity and development needs of each country.","Situational awareness, Improved organizational efficiency",Disaster Risk Management,production,mitigation,"Geographical Information Systems, Data Collection, Data Mining",Various,Africa,"Middle Africa, Eastern Africa, Western Africa","Democratic Republic of the Congo, South Sudan, Zambia, Mozambique, Nigeria","Columbia University - Center for International Earth Sciene Information Network , WorldPop Flowminder, The Bill and Melinda Gates Foundation, Department for International Development (DFID)",UNFPA,Spatial Data,"SDG 3, SDG 5, SDG 11",2019,https://grid3.org/,https://grid3.org/content/themes/grid3/img/logos/grid3-logo-claim.png
134,GRID3 ,"GRID3 (Geo-Referenced Infrastructure and Demographic Data for Development) works with countries to generate, validate, and use geospatial data on population, settlements, infrastructure, and administrative boundaries to strengthen the foundation for sustainable evidence-based development and humanitarian decision making. The initiative combines the expertise of partners in academia, government, the United Nations, and the private sector to design adaptable and relevant spatial data solutions based on the capacity and development needs of each country.","Situational awareness, Improved organizational efficiency",Disaster Risk Management,production,preparedness,"Geographical Information Systems, Data Collection, Data Mining",Various,Africa,"Middle Africa, Eastern Africa, Western Africa","Democratic Republic of the Congo, South Sudan, Zambia, Mozambique, Nigeria","Columbia University - Center for International Earth Sciene Information Network , WorldPop Flowminder, The Bill and Melinda Gates Foundation, Department for International Development (DFID)",UNFPA,Spatial Data,"SDG 3, SDG 5, SDG 11",2019,https://grid3.org/,https://grid3.org/content/themes/grid3/img/logos/grid3-logo-claim.png
135,Map and monitor disease spreading,Development of a generic model using mobility data to forecast the spread of vector-borne diseases.,"Situational awareness, Improved organizational efficiency",Disaster Risk Management,idea,mitigation,Geographical Information Systems,Pandemic/Epidemic,Americas,South America,Colombia,No Information,UNICEF,Spatial Data,SDG 3,2018,https://www.unicef.org/innovation/stories/unlocking-power-data-social-good-colombia,https://www.unicef.org/innovation/sites/unicef.org.innovation/files/styles/hero_desktop/public/UN013364.jpg?itok=ZqbDzFW-
136,The Tsunami & Earthquake Fighter Game,"Tanah: Earthquake and Tsunami Fighter is a fun action packed game (mobile application) that makes learning about disaster risk reduction actions interesting and engaging for people of all ages, but particularly children. With more than 20 exciting and challenging stages, Tanah: The Tsunami and Earthquake Fighter, has been developed to engage users to learn how to protect themselves from earthquakes and tsunamis, providing key survival lessons for all phases of disaster preparedness, response and recovery.",Risk Reduction,Situational awareness/actionable information gathering,production,response,Mobile App,Tsunamis,Global,Global,Global,"Red Cross/Red Crescent Global Disaster preparedness Center (GDPC), Opendream ",UNESCO Bangkok,None,No Information,2016,https://southeastasiaglobe.com/new-unesco-game-app-tanah-the-tsunami-earthquake-fighter-teaches-children-survival-skills/ ,"https://sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_300/https://southeastasiaglobe.com/wp-content/uploads/2016/01/1024x1024sr-300x300.jpg"
137,The Tsunami & Earthquake Fighter Game,"Tanah: Earthquake and Tsunami Fighter is a fun action packed game (mobile application) that makes learning about disaster risk reduction actions interesting and engaging for people of all ages, but particularly children. With more than 20 exciting and challenging stages, Tanah: The Tsunami and Earthquake Fighter, has been developed to engage users to learn how to protect themselves from earthquakes and tsunamis, providing key survival lessons for all phases of disaster preparedness, response and recovery.",Risk Reduction,Situational awareness/actionable information gathering,production,recovery,Mobile App,Tsunamis,Global,Global,Global,"Red Cross/Red Crescent Global Disaster preparedness Center (GDPC), Opendream ",UNESCO Bangkok,None,No Information,2016,https://southeastasiaglobe.com/new-unesco-game-app-tanah-the-tsunami-earthquake-fighter-teaches-children-survival-skills/ ,"https://sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img,w_300/https://southeastasiaglobe.com/wp-content/uploads/2016/01/1024x1024sr-300x300.jpg"
138,IoT for Climate in Rwanda,"The pilot project tested the use of IoT in the climate information value chain. Through capacity building, hackathons and test deployment, the project identified key areas for IoT technology opportunities and produced some early solutions for the dissemination of weather information. ","Situational awareness, Improved organizational efficiency",Situational awareness/actionable information gathering,production,preparedness,Internet of Things,Climate Change,Africa,Eastern Africa,Rwanda,UNDP Africa,UNDP Africa,Sensor Data,No Information,2019,https://medium.com/@UNDPAfrica/homegrown-technology-brings-new-angles-to-climate-early-warning-systems-27fe60b7f767,https://miro.medium.com/max/1400/1*LcWSdXFg91S9Uf98unfgzg.jpeg
139,Scaling-up multi-hazard early warning system and the use of climate information,"Centralized Multi-Hazard Disaster Risk Information and Knowledge System is a GIS-based web portal being developed to enable the information management and access of individuals, communities, and public authorities in Georgia to relevant knowledge and comprehensive information on all aspects of disaster risks, including hazards, exposure, vulnerability, and capacity, related to persons, communities, organizations and their assets. The Emergency Management Service of the Ministry of Internal Affairs of Georgia will be the owner of the system. The system will allow collection and sharing of big volumes of data for modeling socio-economic vulnerability to natural hazards. It will be a valid source for hazard maps and risk profiles for various state agencies across all economic sectors.  ","Situational awareness, Improved organizational efficiency",Situational awareness/actionable information gathering,prototype,preparedness,Geographical Information Systems,Various,Asia,Western Asia,Georgia,"Ministry of Environment Protection of Georgia, Green Climate Fund, Swiss Development Cooperation (SDC)",UNDP,Spatial Data,No Information,2018,https://www.adaptation-undp.org/projects/scaling-multi-hazard-early-warning-system-and-use-climate-information-georgia,https://www.adaptation-undp.org/sites/default/files/project-display-photo/26060090714_c0fd5b7f9a_b_cr.jpg
140,Scaling-up multi-hazard early warning system and the use of climate information,"Centralized Multi-Hazard Disaster Risk Information and Knowledge System is a GIS-based web portal being developed to enable the information management and access of individuals, communities, and public authorities in Georgia to relevant knowledge and comprehensive information on all aspects of disaster risks, including hazards, exposure, vulnerability, and capacity, related to persons, communities, organizations and their assets. The Emergency Management Service of the Ministry of Internal Affairs of Georgia will be the owner of the system. The system will allow collection and sharing of big volumes of data for modeling socio-economic vulnerability to natural hazards. It will be a valid source for hazard maps and risk profiles for various state agencies across all economic sectors.  ","Situational awareness, Improved organizational efficiency",Situational awareness/actionable information gathering,prototype,response,Geographical Information Systems,Various,Asia,Western Asia,Georgia,"Ministry of Environment Protection of Georgia, Green Climate Fund, Swiss Development Cooperation (SDC)",UNDP,Spatial Data,No Information,2018,https://www.adaptation-undp.org/projects/scaling-multi-hazard-early-warning-system-and-use-climate-information-georgia,https://www.adaptation-undp.org/sites/default/files/project-display-photo/26060090714_c0fd5b7f9a_b_cr.jpg
141,Bioverse,Using drones and AI to help communites manage forest resources sustainably,"Climate, Inclusive Growth",Situational awareness/actionable information gathering ,production,preparedness,"Artificial Intelligence, Big Data",Various,Americas,South America,Brazil,"UNICEF Innovation, Singularity University, Google, NASA",UNICEF,Spatial Data,SDG 15,2021,https://www.bioverse.io/,https://media-exp3.licdn.com/dms/image/C4E0BAQFKReoEsXxnSQ/company-logo_200_200/0/1618894207880?e=2159024400&v=beta&t=9zl41KEYkEfnVhkQU2LGH513oo_eIYfrbrLKZirgyKw
142,Bioverse,Using drones and AI to help communites manage forest resources sustainably,"Climate, Inclusive Growth",Situational awareness/actionable information gathering ,production,mitigation,"Artificial Intelligence, Big Data",Various,Americas,South America,Brazil,"UNICEF Innovation, Singularity University, Google, NASA",UNICEF,Spatial Data,SDG 15,2021,https://www.bioverse.io/,https://media-exp3.licdn.com/dms/image/C4E0BAQFKReoEsXxnSQ/company-logo_200_200/0/1618894207880?e=2159024400&v=beta&t=9zl41KEYkEfnVhkQU2LGH513oo_eIYfrbrLKZirgyKw
143,DiCRA,Data in Climate Resilient Agriculture (DiCRA) demystifies climate resilience in agriculture and mainstreams data-driven decision making on climate adaptation in agriculture.,"Environment, Pollution",Situational awareness/actionable information gathering,production,preparedness,"Artificial Intelligence, Big Data",Climate Change,Asia,Southern Asia,India,"UNDP Accelerator Labs, Rockefeller Foundation, Government of Telangana, ICRISAT, Zero Hunger Lab, JADS, RICH",UNDP,Spatial Data,SDG 13,2022,https://dicra.undp.org.in/,https://www.undp.org/sites/g/files/zskgke326/files/styles/image_with_credit_caption_wide_large_1920_x897_/public/2022-07/Dicra%20cover.jpg?itok=4h0XPSDl
144,DiCRA,Data in Climate Resilient Agriculture (DiCRA) demystifies climate resilience in agriculture and mainstreams data-driven decision making on climate adaptation in agriculture.,"Environment, Pollution",Situational awareness/actionable information gathering,production,mitigation,"Artificial Intelligence, Big Data",Climate Change,Asia,Southern Asia,India,"UNDP Accelerator Labs, Rockefeller Foundation, Government of Telangana, ICRISAT, Zero Hunger Lab, JADS, RICH",UNDP,Spatial Data,SDG 13,2022,https://dicra.undp.org.in/,https://www.undp.org/sites/g/files/zskgke326/files/styles/image_with_credit_caption_wide_large_1920_x897_/public/2022-07/Dicra%20cover.jpg?itok=4h0XPSDl
145,DisasterAWARE Pro,"Humanitarian risk intelligence platform that serves the early warning and decision support needs of the public, governments, and NGOs around the world","Disaster Risk Management, Early Warning ",Early Warning System,production,preparedness,"Geographical Information Systems, Remote Sensing",Various,Global,Global,Global,"WFP, WHO, UNICEF, UNDRR, UN Women, US Government, USAID, NASA, and hundreds of international partners",DRR,"Spatial Data, Mobile Network Data, Text Data","SDG 3, SDG 13",2021,https://www.pdc.org/disasteraware,https://www.pdc.org/wp-content/uploads/PDCLogo.svg
146,DisasterAWARE Pro,"Humanitarian risk intelligence platform that serves the early warning and decision support needs of the public, governments, and NGOs around the world","Disaster Risk Management, Early Warning ",Early Warning System,production,recovery,"Geographical Information Systems, Remote Sensing",Various,Global,Global,Global,"WFP, WHO, UNICEF, UNDRR, UN Women, US Government, USAID, NASA, and hundreds of international partners",DRR,"Spatial Data, Mobile Network Data, Text Data","SDG 3, SDG 13",2022,https://www.pdc.org/disasteraware,https://www.pdc.org/wp-content/uploads/PDCLogo.svg
147,DisasterAWARE Pro,"Humanitarian risk intelligence platform that serves the early warning and decision support needs of the public, governments, and NGOs around the world","Disaster Risk Management, Early Warning ",Early Warning System,production,response,"Geographical Information Systems, Remote Sensing",Various,Global,Global,Global,"WFP, WHO, UNICEF, UNDRR, UN Women, US Government, USAID, NASA, and hundreds of international partners",DRR,"Spatial Data, Mobile Network Data, Text Data","SDG 3, SDG 13",2023,https://www.pdc.org/disasteraware,https://www.pdc.org/wp-content/uploads/PDCLogo.svg
148,DisasterAWARE Pro,"Humanitarian risk intelligence platform that serves the early warning and decision support needs of the public, governments, and NGOs around the world","Disaster Risk Management, Early Warning ",Early Warning System,production,mitigation,"Geographical Information Systems, Remote Sensing",Various,Global,Global,Global,"WFP, WHO, UNICEF, UNDRR, UN Women, US Government, USAID, NASA, and hundreds of international partners",DRR,"Spatial Data, Mobile Network Data, Text Data","SDG 3, SDG 13",2024,https://www.pdc.org/disasteraware,https://www.pdc.org/wp-content/uploads/PDCLogo.svg
149,Moskeet,IoT Technology for Smart Mosquito Control Management to help control mosquito-borne diseases,Disaster Risk Management,Disaster Risk Management,production,preparedness,Internet of Things,Pandemic/Epidemic,Asia,Southern Asia,India,"World Food Program, MIT Solve program, Bill & Melinda Gates Foundation, Malaria Quest (India Health Fund - TATA Trusts), Marico Innovation Foundation (MIF) Scale-Up program, AI for Humanity (Patrick J. McGovern Foundation), AI for Good award (AWS)",WFP,"Numerical Data, Text Data",SDG 3,2022,https://www.trakitnow.com/,https://www.trakitnow.com/wp-content/uploads/2018/08/banner-part1-3.png
150,Moskeet,IoT Technology for Smart Mosquito Control Management to help control mosquito-borne diseases,Disaster Risk Management,Disaster Risk Management,production,mitigation,Internet of Things,Pandemic/Epidemic,Asia,Southern Asia,India,"World Food Program, MIT Solve program, Bill & Melinda Gates Foundation, Malaria Quest (India Health Fund - TATA Trusts), Marico Innovation Foundation (MIF) Scale-Up program, AI for Humanity (Patrick J. McGovern Foundation), AI for Good award (AWS)",WFP,"Numerical Data, Text Data",SDG 3,2022,https://www.trakitnow.com/,https://www.trakitnow.com/wp-content/uploads/2018/08/banner-part1-3.png
151,Empower Tracking,"Using the crowd, blockchain, and incentives to reduce plastic waste across the globe","Health, Environment",Situational awareness/actionable information gathering,production,preparedness,"Big Data, Blockchain",Various,Global,Global,Global,"SAP.iO SAPs startup/scaleup program with technical, Google program for SDG Startups, Alliance to End Plastic Waste Accelerator program with Plug and Play VC, Ocean Plastic Prevention Accelerator (Incubation Network), AEPW, UpLink and TopLink (World Economic Forum), The Factory Accelerator, Best Nordic Accelerator Program winner multiple years",UNDP,None,"SDG 3, SDG 6, SDG 13",2018,https://www.empower.eco/,https://d9hhrg4mnvzow.cloudfront.net/www.empower.eco/9832175d-empower-heo.jpg
